PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Brust, ML; Hoback, WW; Wright, RJ				Brust, Mathew L.; Hoback, W. Wyatt; Wright, R. J.			Apparent Hybridization Between Trimerotropis agrestis and Trimerotropis maritima (Orthoptera: Acrididae) in a Recently Disturbed Habitat	JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY			English	Article						Acrididae; Trimerotropis; hybridization; habitat change; biodiversity loss		In Nebraska, the ranges of Trimerotropis maritima (eastern species) and T agrestis (western species) overlap but populations usually remain separated by habitat preferences. The morphological and color differences between the species are described. However, around Lake McConaughy, a reservoir on the North Platte River which has declined markedly in depth as a result of recent drought, a habitat was created in which the two species coincide and hybridize frequently. The water level in this reservoir had dropped in excess of 20 meters as of 2007, resulting in large expanses of dunes grading into beach habitats. Grasshoppers were collected in the area from 2005 to 2007 and based on morphological characteristics appear to represent hybrids. Surveys of many other habitats in Nebraska produced no hybrids. This study indicates that the alteration of habitat by impoundment of a river followed by climatic change may have the potential to disrupt environmental boundaries that maintain the integrity of parapatric sibling species. As this habitat is the result of human landscape alterations, it suggests that our alterations have the potential to disrupt environmental characteristics that maintain the integrity of parapatric sibling species.	[Hoback, W. Wyatt] Univ Nebraska Kearney, Dept Biol, Kearney, NE 68849 USA; [Brust, Mathew L.] Chadron State Coll, Dept Biol, Chadron, NE 69337 USA; [Wright, R. J.] Univ Nebraska, Dept Entomol, Lincoln, NE 68583 USA		Hoback, WW (corresponding author), Univ Nebraska Kearney, Dept Biol, 905 W 25th St, Kearney, NE 68849 USA.	hobackww@unk.edu		Hoback, William/0000-0002-8927-9102				5	0	0	0	7	KANSAS ENTOMOLOGICAL SOC	LAWRENCE	PO BOX 368, LAWRENCE, KS 66044 USA	0022-8567	1937-2353		J KANSAS ENTOMOL SOC	J. Kans. Entomol. Soc.	JUL	2009	82	3					215	222		10.2317/JKES805.26.1			8	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	536YN	WOS:000273079900001		Green Submitted			2022-03-27	
J	Dupuis, JR; Judge, KA; Brunet, BMT; Chan, SO; Sperling, FAH				Dupuis, Julian R.; Judge, Kevin A.; Brunet, Bryan M. T.; Chan, Shawna Ohlmann; Sperling, Felix A. H.			Does hunger lead to hybridization in a genus of sexually cannibalistic insects (Orthoptera: Prophalangopsidae)?	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY			English	Article						Cyphoderris; genomics; genotyping by sequencing; grig; population genetics; Prophalangopsidae; sexual selection	POPULATION-STRUCTURE; CYPHODERRIS-STREPITANS; SAGEBRUSH CRICKETS; SPECIATION; SOFTWARE; LEPIDOPTERA; PERFORMANCE; DISRUPTION; INFERENCE; HAGLIDAE	Allochronic isolation can be a strong mechanism for reproductive isolation and speciation. However, imperfect allochrony and the expression of phenological plasticity can erode temporal barriers to gene flow and result in hybridization between divergent lineages. Here, we combine behavioural ecology and genomics to investigate this scenario in two closely related species of grigs in the genus Cyphoderris. These species exhibit a unique mating system whereby females feed on the fleshy hind wings of the male during copulation, and copulation with conspecific males is more likely in food-restricted females than in well-fed females. In western Canada, Cyphoderris buckelli and Cyphoderris monstrosa are sympatric but largely allochronically separated, with C. buckelli breeding earlier. However, their breeding seasons can overlap, leading to potential for older C. buckelli females to mate with young C. monstrosa males to obtain resources via sexual cannibalism. We used behavioural assays to test whether female feeding status affects the propensity for interspecific mating between C. buckelli females and C. monstrosa males. We then tested for hybridization and gene exchange in wild populations of both species, using morphology, mitochondrial DNA and genome-wide nuclear markers. We found that interspecific courtship and mating can occur, but the relationship between food restriction and increased propensity for hybridization was not significant. Although we observed intraspecific population genetic structure in both species, we found no signatures of hybridization in the morphological or genetic datasets, which suggests that postmating reproductive barriers might be preventing successful hybridization in the wild.	[Dupuis, Julian R.] Univ Kentucky, Dept Entomol, Lexington, KY 40546 USA; [Dupuis, Julian R.; Brunet, Bryan M. T.; Sperling, Felix A. H.] Univ Alberta, Dept Biol Sci, Edmonton, AB T6G 2E9, Canada; [Judge, Kevin A.; Chan, Shawna Ohlmann] MacEwan Univ, Dept Biol Sci, Edmonton, AB T5J 4S2, Canada; [Judge, Kevin A.] Univ Lethbridge, Dept Biol Sci, Lethbridge, AB T1K 3M4, Canada; [Brunet, Bryan M. T.] Agr & Agri Food Canada, Ottawa Res & Dev Ctr, Ottawa, ON K1A 0C6, Canada		Dupuis, JR (corresponding author), Univ Kentucky, Dept Entomol, Lexington, KY 40546 USA.; Dupuis, JR (corresponding author), Univ Alberta, Dept Biol Sci, Edmonton, AB T6G 2E9, Canada.; Judge, KA (corresponding author), MacEwan Univ, Dept Biol Sci, Edmonton, AB T5J 4S2, Canada.; Judge, KA (corresponding author), Univ Lethbridge, Dept Biol Sci, Lethbridge, AB T1K 3M4, Canada.	julian.dupuis@uky.edu; judgek3@macewan.ca		Dupuis, Julian/0000-0002-6989-9179	Natural Sciences and Engineering Research Council of Canada Discovery GrantsNatural Sciences and Engineering Research Council of Canada (NSERC) [RGPIN 217174, RGPIN-2017-04674]; University of Lethbridge Postdoctoral Fellowship; MacEwan University Faculty of Arts and Science Research Fund; NCBI, BioProject [PRJNA601897]	J.R. D. and K.A.J. contributed equally to this work. Genotyping by sequencing libraries were prepared at Institut de Biologie Integrative et des Systemes at Universite Laval and sequenced at McGill University's Genome Quebec Innovation Centre. Sanger sequencing was conducted at the Molecular Biology Service Unit at the University of Alberta. We thank Terrence Chang for assistance in specimen collection, Taylor Becker for assistance with wet laboratory procedures, and Bill Cade, Paul De Luca, Andrew Mason and Glenn Morris for helpful discussions. Thank you to Thor Veen and two anonymous reviewers for helpful comments on the manuscript. This research was supported by Natural Sciences and Engineering Research Council of Canada Discovery Grants to F.A.H. S. (RGPIN 217174) and K.A.J. (RGPIN-2017-04674), a University of Lethbridge Postdoctoral Fellowship to K. A.J. and a MacEwan University Faculty of Arts and Science Research Fund to K.A.J. Figures were created using R v.3.1.1 (R Core Team, 2018) and Inkscape v.0.91 (The Inkscape Team, 2017). Raw GBS sequencing reads are deposited in NCBI, BioProject PRJNA601897, SRA accessions SRR10907472-SRR10907567 and mtDNA GenBank accessions MT196142-MT196220. Input files for genetic datasets and raw morphological data are provided in the Supporting Information (Files S1-S3 and Table S3, respectively).		62	0	0	3	16	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0024-4066	1095-8312		BIOL J LINN SOC	Biol. J. Linnean Soc.	OCT	2020	131	2					434	448		10.1093/biolinnean/blaa094			15	Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Evolutionary Biology	OF1NR	WOS:000580984200013					2022-03-27	
J	Gwynne, DT				Gwynne, DT			The secondary copulatory organ in female ground weta (Hemiandrus pallitarsis, Orthoptera : Anostostomatidae): a sexually selected device in females?	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY			English	Article						Ensifera; genitalia; nuptial gifts; secondary sexual organs; sexual dimorphism	TRAUMATIC INSEMINATION; FERTILIZATION SUCCESS; GENITAL MORPHOLOGY; EVOLUTION; BEHAVIOR	Secondary sexual devices in female insects, primarily abdominal modifications, appear to function as a means of thwarting coercive mating attempts by males or are, in rare cases, sexually selected adaptations. Female ground weta, Hemiandrus pallitarsis (Orthoptera: Anostostomatidae), have an elaborate elbowed device on the underside of the mid-abdomen. Experimental removal of this accessory organ shows that it does not increase the probability of mating as predicted by the thwart-copulation hypothesis. Instead, removal prevents copulation, thus demonstrating that it is a secondary copulatory device. The male attaches to the organ both at the beginning of copulation and at the end, when he positions himself to adhere a spermatophylax food gift onto the mid-ventral region of his mate. The female accessory organ does not function to manipulate eggs or larvae (females provide care to their single clutch of offspring) and is unlikely to be a copulatory structure that prevents hybridization. The great extent of the modification of the ventral abdominal segments of H. pallitarsis females compared to other Hemiandrus species is consistent with a history of sexual selection on the accessory organ. Taken together, these results and the finding that the length of the accessory organ of H. pallitarsis correlates with female fecundity, suggest that this structure evolved under sexual selection to acquire nuptial gifts from males. (c) 2005 The Linnean Society of London.	Univ Toronto, Dept Zool, Mississauga, ON L5L 1C6, Canada		Gwynne, DT (corresponding author), Univ Toronto, Dept Zool, Mississauga, ON L5L 1C6, Canada.	dgwynne@utm.utoronto.ca						27	9	9	0	13	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0024-4066	1095-8312		BIOL J LINN SOC	Biol. J. Linnean Soc.	AUG	2005	85	4					463	469		10.1111/j.1095-8312.2005.00510.x			7	Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Evolutionary Biology	953DW	WOS:000231057700005		Bronze			2022-03-27	
J	Wehi, PM; Monks, A; Morgan-Richards, M				Wehi, Priscilla M.; Monks, Adrian; Morgan-Richards, Mary			Male tree weta are attracted to cuticular scent cues but do not discriminate according to sex or among two closely related species	ETHOLOGY			English	Article						cuticular hydrocarbons; hybridization; Orthoptera; reproductive interference; signal; species recognition	FEMALE FIELD CRICKETS; REPRODUCTIVE INTERFERENCE; TRIBOLIUM-CASTANEUM; BANKS PENINSULA; WEAPON SIZE; ORTHOPTERA; HYDROCARBONS; BEHAVIOR; PHEROMONES; EVOLUTION	Recognition of conspecifics is an essential precursor of successful mating. Where related species coexist, species discrimination might be important, but because related species are similar, species signal recognition may actually be low. Chemical cues such as cuticular hydrocarbons (CHCs) are frequently used by insects to identify suitable sexual partners. We predicted that New Zealand tree weta (Hemideina spp.), a genus of nocturnal ensiferan Orthoptera that live both allopatrically and sympatrically, use chemical signals from either frass or CHCs to find mates. In a series of six laboratory trials using both H. thoracica and H. crassidens, we found that male tree weta, but not female tree weta, occupied cavities primed with female cuticular cues more often than cavities without. However, males did not discriminate between chemical cues of male and female conspecifics, or between conspecifics and heterospecifics. In field trials, tree weta did not occupy artificial cavities primed with either female frass or female cuticular cues more often than unscented cavities. However, in both trials weta preferentially returned to cavities that had already been occupied earlier in the trials. A final field trial confirmed the presence of mixed species harems during the mating season in one region of sympatry. Our results suggest that selection on sex and species specific chemical cues that could be used to find conspecific mates is weak. Mixed species aggregations suggest that identification of conspecific mating cues has not evolved to be species specific. We infer that for male tree weta, the cost of mating with heterospecifics is likely less than not mating at all.	[Wehi, Priscilla M.; Morgan-Richards, Mary] Massey Univ, Inst Agr & Environm, Palmerston North, New Zealand; [Wehi, Priscilla M.; Monks, Adrian] Landcare Res, Private Bag 1930, Dunedin 9054, New Zealand		Wehi, PM (corresponding author), Landcare Res, Private Bag 1930, Dunedin 9054, New Zealand.	wehip@landcareresearch.co.nz		Wehi, Priscilla/0000-0001-9821-8160; Monks, Adrian/0000-0002-4782-810X	New Zealand Foundation for Research, Science and TechnologyNew Zealand Foundation for Research, Science and Technology [UOWX0501, MAUX0905]; Rutherford Discovery Fellowship [14-LCR-001]; Massey University MURF	This work was supported by New Zealand Foundation for Research, Science and Technology contract number UOWX0501, and Postdoctoral fellowship MAUX0905; Rutherford Discovery Fellowship 14-LCR-001 to PMW; and Massey University MURF funding "What limits a weta?" to MMR.		54	3	4	0	9	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0179-1613	1439-0310		ETHOLOGY	Ethology	NOV	2017	123	11					825	834		10.1111/eth.12652			10	Psychology, Biological; Behavioral Sciences; Zoology	Science Citation Index Expanded (SCI-EXPANDED)	Psychology; Behavioral Sciences; Zoology	FL2HT	WOS:000414036700007					2022-03-27	
J	MASON, DJ; BUTLIN, RK; GACESA, P				MASON, DJ; BUTLIN, RK; GACESA, P			AN UNUSUAL MITOCHONDRIAL-DNA POLYMORPHISM IN THE CHORTHIPPUS-BIGUTTULUS SPECIES GROUP (ORTHOPTERA, ACRIDIDAE)	MOLECULAR ECOLOGY			English	Note						CHORTHIPPUS BIGUTTULUS GROUP; GENETIC DIVERGENCE; HYBRIDIZATION; MTDNA VARIATION; RFLP	SYSTEMATICS; GRASSHOPPER	Mitochondrial DNA restriction fragment patterns have been used to investigate the Chorthippus biguttulus group: a group of morphologically similar grasshopper species with very distinct male calling songs. Ten haplotypes were identified in 21 populations, representing six species. Haplotype diversity was as great within species, and in same case within populations, as it was among species and no clear geographical patterns of haplotype distribution were revealed. In the light of grasshopper range changes since the last glaciation it is unlikely that these data can be explained entirely by the retention of ancestral polymorphism. This suggests that hybridization has occurred during periods of grasshopper range expansion since the last glacial maximum, allowing mtDNA transfer between populations that have previously diverged in allopatry.	UNIV WALES COLL CARDIFF,SCH PURE & APPL BIOL,CARDIFF CF1 3TL,S GLAM,WALES; UNIV WALES COLL CARDIFF,DEPT BIOCHEM,CARDIFF CF1 1ST,S GLAM,WALES				Butlin, Roger K/F-7709-2013; Mason, Deborah J/F-8265-2010	Butlin, Roger K/0000-0003-4736-0954; Mason, Deborah J/0000-0003-4926-3365				23	14	14	0	6	BLACKWELL SCIENCE LTD	OXFORD	OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0EL	0962-1083			MOL ECOL	Mol. Ecol.	FEB	1995	4	1					121	126		10.1111/j.1365-294X.1995.tb00199.x			6	Biochemistry & Molecular Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology	QK434	WOS:A1995QK43400014					2022-03-27	
J	Sarasa, J; Bernal, A; Fernandez-Calvin, B; Bella, JL				Sarasa, J.; Bernal, A.; Fernandez-Calvin, B.; Bella, J. L.			Wolbachia Induced Cytogenetical Effects as Evidenced in Chorthippus parallelus (Orthoptera)	CYTOGENETIC AND GENOME RESEARCH			English	Article						Chiasmata; Chorthippus parallelus; Cytogenetics; Cytoplasmic incompatibility (CI); Hybrid zones; Spermatid malformation; Wolbachia	INDUCED CYTOPLASMIC INCOMPATIBILITY; HYBRID ZONE; ERYTHROPUS ORTHOPTERA; DROSOPHILA-SIMULANS; INFECTION; CHROMOSOME; EVOLUTION; ACRIDIDAE; POPULATION; FECUNDITY	The cytoplasmic incompatibility induced by the bacterial endosymbiont Wolbachia is attributed to chromatin modification in the sperm of infected individuals and is only 'rescued' by infected females after fertilization. Chorthippus parallelus is a grasshopper with 2 subspecies that form a hybrid zone in the Pyrenees in which this Wolbachia - generated cytoplasmic incompatibility has recently been described. The analysis of certain cytogenetic traits (sex chromosome-linked heterochromatic bands, nucleolar organizing region expression, spermatid size and morphology, and number of chiasmata formed) in pure and hybrid Chorthippus parallelus that are infected and not infected by this bacterium indicates that the infection affects some of these traits and, in the case of the spermatids, reveals a synergism between the infection and the hybrid condition. These results are interpreted as being secondary effects of the chromatin modification induced by Wolbachia which thereby support this model of modification/rescue. The possible effects of these cytogenetic variations on affected individuals are also considered. Copyright (C) 2012 S. Karger AG, Basel	[Sarasa, J.; Bernal, A.; Fernandez-Calvin, B.; Bella, J. L.] Univ Autonoma Madrid, Fac Ciencias, Dept Biol Genet, ES-28049 Madrid, Spain		Bella, JL (corresponding author), Univ Autonoma Madrid, Fac Ciencias, Dept Biol Genet, ES-28049 Madrid, Spain.	bella@uam.es	Sarasa, Jonás/AAO-5237-2021; Bernal, Aurora/AAG-1926-2019	Bernal, Aurora/0000-0002-5741-7865	Spanish grantSpanish Government [CGL2009-08380/BOS]; Chromacell S.L	This work has been supported by the Spanish grant CGL2009-08380/BOS with the collaboration of Chromacell S.L.		54	9	10	0	17	KARGER	BASEL	ALLSCHWILERSTRASSE 10, CH-4009 BASEL, SWITZERLAND	1424-8581	1424-859X		CYTOGENET GENOME RES	Cytogenet. Genome Res.		2013	139	1					36	43		10.1159/000341572			8	Cell Biology; Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Cell Biology; Genetics & Heredity	049SR	WOS:000312004200006	22907174				2022-03-27	
J	Kawakami, Y; Tatsuta, H				Kawakami, Yasushi; Tatsuta, Haruki			Variation in the Shape of Genital Appendages Along a Transect Through Sympatric and Allopatric Areas of Two Brachypterous Grasshoppers, Parapodisma setouchiensis and Parapodisma subastris (Orthoptera: Podisminae)	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA			English	Article						Parapodisma; geographic variation; cercus; character displacement	CHARACTER DISPLACEMENT; EVOLUTION; BEETLES	Divergence in genital traits between closely related species is occasionally greater in sympatry than in allopatry, possibly because directional selection facilitates differentiation so as to prevent unfit hybridization. Here, we report for the first time that the shape of a functional genital structure, cercus, differs markedly between sympatrically and allopatrically occurring individuals in two brachypterous grasshopper species, Parapodisma setouchiensis Inoue 1979 and Parapodisma subastris Huang 1983 (Orthoptera: Podisminae). Although in areas of allopatry the cerci were straight in both species, in areas of sympatry the cerci of P. setouchiensis had an almost orthogonal bend. Furthermore, the angles of curvature of the cerci of P. setouchiensis varied continuously along a transect through sympatric and allopatric areas. We also observed copulation behavior in pairs and found that the apical part of the cerci was inserted into the space between the posterior edges of the seventh abdominal sternite and the seventh abdominal tergite of the female. We suggest that the orthogonally bent cerci allows the male to obtain a firm grip on the female's abdomen and propose that the conspicuous variation in the cerci of P. setouchiensis contributes to the strength of reinforcement of a premating isolation system.	[Kawakami, Yasushi] Tottori Prefectural Museum, Tottori 6800011, Japan; [Tatsuta, Haruki] Univ Ryukyus, Grad Sch Agr, Lab Subtrop Zool, Okinawa 9030213, Japan		Kawakami, Y (corresponding author), Tottori Prefectural Museum, Higashi Machi 2-124, Tottori 6800011, Japan.	kawakamiy@pref.tottori.jp		Tatsuta, Haruki/0000-0001-8847-8874				16	7	8	0	4	ENTOMOLOGICAL SOC AMER	LANHAM	10001 DEREKWOOD LANE, STE 100, LANHAM, MD 20706-4876 USA	0013-8746			ANN ENTOMOL SOC AM	Ann. Entomol. Soc. Am.	MAY	2010	103	3					327	331		10.1603/AN09074			5	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	595CM	WOS:000277588300004		hybrid			2022-03-27	
J	Vedenina, VY				Vedenina, V. Yu.			COURTSHIP SONG ANALYSIS IN TWO HYBRID ZONES BETWEEN SIBLING SPECIES OF THE CHORTHIPPUS ALBOMARGINATUS GROUP (ORTHOPTERA, GOMPHOCERINAE)	ZOOLOGICHESKY ZHURNAL			Russian	Article						grasshoppers; stridulation; courtship songs; hybridization; reproductive isolation	COMPLEX COURTSHIP; SPECIATION; MAINTENANCE; ACRIDIDAE; BARRIERS; PATTERN	Two new hybrid zones between sibling species of the Chorthippus albomarginatus group were described on the basis of the courtship song analysis. Not only sound but also underlying stridulatory movements of hind legs were analyzed, which allowed classifying temporal parameters and conducting comparative analysis more reliably. One hybrid zone, between Ch. albomarginatus and Ch. karelini, was found in Uryanovsk and Samara regions of Russia. Another hybrid zone was found in Kherson region of Ukraine, around the reserved steppe Askaniya-Nova, presumably between Ch. karelini and Ch. oschei. A comparison of the natural and laboratory hybrids allowed suggesting the structure and fate of the hybrid zones.	Kharkevich Inst Informat Transmiss Problems, Moscow 127994, Russia		Vedenina, VY (corresponding author), Kharkevich Inst Informat Transmiss Problems, Moscow 127994, Russia.	vedenin@iitp.ru						32	0	0	0	12	MAIK NAUKA-INTERPERIODICA PUBL	MOSCOW	GSP-1, MARONOVSKII PER 26, MOSCOW, 119049, RUSSIA	0044-5134			ZOOL ZH	Zool. Zhurnal	FEB	2015	94	2					161	175		10.7868/S0044513415020117			15	Zoology	Science Citation Index Expanded (SCI-EXPANDED)	Zoology	CF0PZ	WOS:000352248000004					2022-03-27	
J	Yu, BJ; Mai, JW; Chen, X; Xu, CY; Chen, Y; Cao, KL; Xu, Y; Roman, J; Ji, R				Yu, Bing-Jie; Mai, Ji-Wei; Chen, Xiao; Xu, Chun-Yu; Chen, Yun; Cao, Kai-Li; Xu, Ye; Roman, Jashenko; Ji, Rong			Source Areas and Migratory Trajectories of Locusta migratoria migratoria (Orthoptera: Acrididae) in the Border Region of Tacheng, Xinjiang, China and Adjacent Regions	JOURNAL OF ENTOMOLOGICAL SCIENCE			English	Article						Sino-Kazakhstan border; Locusta migratoria migratoria; trajectory analysis; source area; Central Asia insect migration pattern	LUGENS HEMIPTERA DELPHACIDAE; CALLIPTAMUS-ITALICUS L.	The Hybrid Single Particle Lagrangian Integrated Trajectory Model and meteorological graphics software (Grads and ArcGIS) were used to analyze source areas and migratory trajectories of a population of Locusta migratoria migratoria (L.) (Orthoptera: Acrididae) in the Tacheng region of Xinjiang, China that borders with eastern Kazakhstan. The source areas of these locusts migrating into the Tacheng region are distributed near Lake Alakol, Lake Zaisan, eastern Lake Balkhash, the Irtysh River, and Ayaguz River in Kazakhstan. Locusts follow nine migratory trajectories in their invasion of Tacheng. On the respective migration dates, a westerly wind, northerly wind, or northwesterly wind, the latter being the prevailing wind direction, occurred at 950 hPa over the source areas. At migration heights of 300. 500, and 800 m above mean sea level, the air temperatures ranged from 25.0-31.0 degrees C, 21.5-26.0 degrees C, and 21.0-25.0 degrees C, respectively. The concept of insect migration pattern in Central Asia is proposed, but a series of theoretical and empirical studies will be needed to provide support for this postulation.	[Yu, Bing-Jie; Mai, Ji-Wei; Chen, Xiao; Xu, Chun-Yu; Chen, Yun; Cao, Kai-Li; Xu, Ye; Roman, Jashenko; Ji, Rong] Xinjiang Normal Univ, Int Res Ctr Cross Border Pest Management Cent Asi, Key Lab Conservat & Management Species Divers Xin, Coll Life Sci, Urumqi 830054, Peoples R China; [Mai, Ji-Wei] Lanzhou Univ, Sch Life Sci, Lanzhou 730000, Gansu, Peoples R China; [Roman, Jashenko] Al Farabi Kazakh Natl Univ, Alma Ata 480078, Kazakhstan		Ji, R (corresponding author), Xinjiang Normal Univ, Int Res Ctr Cross Border Pest Management Cent Asi, Key Lab Conservat & Management Species Divers Xin, Coll Life Sci, Urumqi 830054, Peoples R China.	jirong@xjnu.edu.cn	Jashenko, Roman/Y-2576-2019	Jashenko, Roman/0000-0002-3258-7323	International Scientific and Technological Cooperation Project [2016YFE0203100, 2015DRF30290]; University Innovation Team Project of Xinjiang Uygur Autonomous Region [XJEDU2017T007]	We thank numerous student workers for their help in the paper. This work was sponsored by the International Scientific and Technological Cooperation Project (grant no. 2016YFE0203100, 2015DRF30290) and the University Innovation Team Project of Xinjiang Uygur Autonomous Region (grant no. XJEDU2017T007).		42	1	3	2	16	GEORGIA ENTOMOLOGICAL SOC INC	TIFTON	PO BOX 748 DEPT ENTOMOLOGY COASTAL PLAIN EXPT STATION, TIFTON, GA 31793-0748 USA	0749-8004			J ENTOMOL SCI	J. Entomol. Sci.	JAN	2020	55	1					46	57		10.18474/0749-8004-55.1.46			12	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	KA3CH	WOS:000505674500005					2022-03-27	
J	Sahin, YS; Bouhari, A; Ulu, TC; Sadic, B; Susurluk, IA				Sahin, Yavuz Selim; Bouhari, Ahcen; Ulu, Tufan Can; Sadic, Busra; Susurluk, Ismail Alper			New application method for entomopathogenic nematode Heterorhabditis bacteriophora (Poinar, 1976) (Rhabditida: Heterorhabditidae) HBH strain against Locusta migratoria (Linnaeus, 1758) (Orthoptera: Acrididae)	TURKIYE ENTOMOLOJI DERGISI-TURKISH JOURNAL OF ENTOMOLOGY			English	Article						Above-ground application; entomopathogenic nematodes; hydrophilic fabric; Locusta migratoria	GLASSHOUSE-GROWN CUCUMBERS; STEINERNEMA-FELTIAE; FOLIAR APPLICATION; BIOLOGICAL-CONTROL; INSECT PESTS; EFFICACY; CARPOCAPSAE; PERSISTENCE; BIOCONTROL; ADJUVANTS	Entomopathogenic nematodes (EPNs) of the families Heterorhabditidae and Steinernematidae are being used as biocontrol agents against many soil borne insect pests in agriculture. Above-ground applications against the insects are usually unsuccessful due to the lack of humidity. Therefore, EPNs rapidly lose their effectiveness. In this study, conducted in 2018 under laboratory conditions in Bursa-Turkey, a new application method was developed for the use of Heterorhabditis bacteriophora (Poinar, 1976) (Rhabditida: Heterorhabditidae) HBH hybrid strain against the migratory locust, Locusta migratoria (Linnaeus, 1758) (Orthoptera: Acrididae). A new trap system is coated with hydrophilic cotton fabric to provide the necessary humidity to allow the use of EPNs above-ground. Three different application rates of H. bacteriophora (5000, 25000 and 50000 IJs) were applied to the trap system. The fabric was inoculated with the nematodes and combined with a reservoir containing 200 ml of ringer solution. The dead and live nematodes were recorded periodically to determine their persistence on the fabric. The mortality of L. migratoria were also recorded to determine the infectivity of H. bacteriophora. The infectivity and persistence of the nematodes was sustained for more than 4 weeks by this method.	[Sahin, Yavuz Selim; Bouhari, Ahcen; Ulu, Tufan Can; Sadic, Busra; Susurluk, Ismail Alper] Bursa Uludag Univ, Fac Agr, Dept Plant Protect, TR-16059 Nilufer, Bursa, Turkey		Susurluk, IA (corresponding author), Bursa Uludag Univ, Fac Agr, Dept Plant Protect, TR-16059 Nilufer, Bursa, Turkey.	susurluk@uludag.edu.tr	Susurluk, Alper/AAG-7131-2021; Ulu, Tufan Can/B-6308-2011	Ulu, Tufan Can/0000-0003-3640-1474	Scientific Research Projects Unit of Bursa Uludag University [KUAP (Z)-2018/8]	This study was supported by the Scientific Research Projects Unit of Bursa Uludag University (Project number: KUAP (Z)-2018/8). Also, the master students in our laboratory are thanked for their technical support.		33	2	2	0	2	ENTOMOLOGICAL SOC TURKEY, EGE UNIV	BORNOVA IZMIR	ZIRAAT FAKULTESI, BITKI KORUMA BOLUMU, BORNOVA IZMIR, 00000, TURKEY	1010-6960			TURK ENTOMOL DERG-TU	Turk. Entomol. Derg.-Turk. J. Entomol.		2018	42	4					305	312		10.16970/entoted.471095			8	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	HG5LS	WOS:000455019000006		Green Submitted			2022-03-27	
